order_id,date,month,quarter,year,product,category,region,city,sales_rep,units_sold,unit_price,revenue,profit,customer_segment
1001,2024-01-05,January,Q1,2024,Laptop Pro,Electronics,North,Delhi,Amit,10,85000,850000,255000,Enterprise
1002,2024-01-08,January,Q1,2024,Office Chair,Furniture,South,Mumbai,Priya,25,12000,300000,90000,SMB
1003,2024-01-12,January,Q1,2024,Smartphone X,Electronics,East,Kolkata,Raj,30,45000,1350000,405000,Consumer
1004,2024-01-15,January,Q1,2024,Standing Desk,Furniture,West,Ahmedabad,Sara,15,25000,375000,112500,Enterprise
1005,2024-01-18,January,Q1,2024,Wireless Earbuds,Electronics,North,Delhi,Amit,50,8000,400000,120000,Consumer
1006,2024-01-22,January,Q1,2024,T-Shirt Pack,Clothing,South,Mumbai,Priya,100,2000,200000,60000,Consumer
1007,2024-01-25,January,Q1,2024,Rice 10kg,Food,East,Kolkata,Raj,200,800,160000,48000,Consumer
1008,2024-01-28,January,Q1,2024,Sofa Set,Furniture,West,Ahmedabad,Sara,8,55000,440000,132000,Enterprise
1009,2024-02-03,February,Q1,2024,Laptop Pro,Electronics,South,Chennai,Vikram,12,85000,1020000,306000,Enterprise
1010,2024-02-06,February,Q1,2024,Smartphone X,Electronics,North,Delhi,Amit,35,45000,1575000,472500,Consumer
1011,2024-02-10,February,Q1,2024,Office Chair,Furniture,East,Kolkata,Raj,20,12000,240000,72000,SMB
1012,2024-02-14,February,Q1,2024,Jeans,Clothing,West,Ahmedabad,Sara,80,3500,280000,84000,Consumer
1013,2024-02-18,February,Q1,2024,Wireless Earbuds,Electronics,South,Chennai,Vikram,60,8000,480000,144000,Consumer
1014,2024-02-22,February,Q1,2024,Cooking Oil 5L,Food,North,Delhi,Amit,300,500,150000,45000,Consumer
1015,2024-02-26,February,Q1,2024,Gaming Chair,Furniture,East,Kolkata,Raj,10,18000,180000,54000,SMB
1016,2024-03-02,March,Q1,2024,Laptop Pro,Electronics,West,Pune,Neha,8,85000,680000,204000,Enterprise
1017,2024-03-05,March,Q1,2024,Smartphone X,Electronics,South,Chennai,Vikram,40,45000,1800000,540000,Consumer
